app_id,app_name,category_name,data_collected
239,HOLLA - Live Random Video Chat,Social,"Name, Profile picture, Date of birth, Phone number, Email address, Gender, Facebook account information, Friend lists, Social network usernames, Messages to other users, Service usage information, Browser information, Usage data, User interaction logs, Device-specific information, User content, Log information from website use."
240,Jack’d - Gay Chat & Dating,Social,
241,"Tumblr—Fandom, Art, Chaos",Social,Not Specified
242,"SKOUT - Meet, Chat, Go Live",Social,Not Specified
243,NGL: anonymous q&a,Social,"Account Information, Messages Sent to App Users, Feedback or Correspondence, Usage Information, Device Data (Operating System Type and Version, IP Address, General Location Information), Online Activity Data."
244,noteit widget - by sendit,Social,
245,REALITY-Become an Anime Avatar,Social,
246,"Octopus - Gamepad, Keymapper",Tools,"Non-Personal Information, Session and Available Data, Login Data, Summary Information"
247,GeForce NOW Cloud Gaming,Entertainment,
248,Secure VPN－Safer Internet,Tools,"Internet Service Provider, Device OS Version, Manufacturer, Model, App Version, Device Language, Connection Time, Data Transferred"
249,Cx File Explorer,Tools,"Personal Information [Name, Email, Age, Gender, Transaction Details, Support Queries, Credit Card Details], Device's Photos, External SD Card Data, List of Installed Apps, Device Information, Usage Patterns, Browser Information."
250,RAR,Tools,
251,DuckDuckGo Private Browser,Tools,
252,fitpro,Tools,"User identities, User's preferred settings, Security data, Usernames, Server load data, Analytics and research data, Advertising optimization data."
253,Namso Gen,Tools,
254,Samsung My Files,Tools,
255,Weather by WeatherBug,Weather,"Hyper-local weather data, Predictive energy efficiency insights."
256,Yahoo Weather,Weather,Personal Information
257,1Weather: Forecast & Radar,Weather,"Account creation details, Purchase details related to third-party services, Communication with the company, Survey participation details, Business development data, IP address, Mobile carrier, Advertising identifiers, Device information, Language settings, App versions, Interaction details with the application and the ads on the device, Precise location information, Data from third-party services and organizations"
258,BBC Weather,Weather,"Name, Contact Details, Date of Birth, Financial Details, Device Information, Location Information, Service Usage Records"
259,Radar Doppler Jalisco,Weather,User's Email
260,Weather,Weather,"Activity data, Cookies, Location, Usage data, User behavior data, Current location estimation (if location services are enabled)"
261,WBKO First Alert Weather,Weather,"Identification Information (Account Information, Name, User Credentials), Contact Information (Email Address, Street Address, Phone Number), Financial Information, Demographic Information (Age, Gender), Professional or Employment Information, Sensitive Information (Race or Ethnicity, Geolocation Information), Analytics Data (Usage Activity, Statistics), Device or System Information (Mobile Device Identifier, Type of Device, Operating System, IP Address), Social Network Information."
262,KFVS12 First Alert Weather,Weather,
263,KRGV FIRST WARN 5 Weather,Weather,"Personal Information, Identifiable Information, User Information through Third-Party Services"
264,Doppler 9&10 Weather Team,Weather,"Full names, Email addresses, Demographic information, Geolocation, IP addresses, User activity data, Cookie data"
265,myCuaca,Weather,"Personally Identifiable Information, User Identification Data, Log Data (Device IP address, device name, operating system version, app configuration, time and date of Service use, various statistics), Cookies"
266,WKYC Weather,Weather,
267,WSFA First Alert Weather,Weather,"Personal information (Account information, name, email address, street address, phone number, financial information), Demographic information, Professional information, Geolocation information, Analytics data, Device information, Social media information"
268,MyRadar Weather Radar,Weather,
269,Weather & Clock Widget,Weather,"Geographical Information, Device Information, Calendar Events, Scheduled Alarms, IP Address, Advertising ID, Performance Info of Device, Social Media Data, Cookies, Personal Data for EU users."
270,KY3 Weather,Weather,"Personal Information (Identification and Contact Information, Financial Data, Professional or Employment Data), Demographic Information, Sensitive Information, Geolocation Data, Analytic Data, Device or System Data, Location Information (from user's device), Social Network Data, Cookies and Similar Technologies for Advertising."
271,WVLT Weather,Weather,
272,Dark Sky - Hyperlocal Weather,Weather,
273,WZZM 13 Weather,Weather,"Contact Data, Registration Data, Communications, Marketing Data, Other Information, Data from Other Sources."
