data_type,data_shared,data_collected
User Data with Third-Party Services (Google Play Services,1,0
User Data with third parties,1,0
User Engagement Data (via Google Analytics),0,1
User ID,0,3
User Identifiable Information (through third-party services and cookies),1,1
User Identification,1,0
User Identification Data,0,1
User Identification Information,0,1
User Identifier Information,0,1
User Information,7,0
User Information (Name,0,1
User Information (not specified),1,0
User Information (processed by Third-party entities),1,0
User Information (with other users,1,0
User Information (with third parties,1,0
User Information Collected Through Pixels/Cookies,1,0
User Information from other users or third parties.,0,1
User Information through Third-Party Services,0,1
User Information with Subsidiaries,1,0
User Information),0,1
User Inputs (Cell Phone Numbers of Beneficiaries),0,1
User Interaction Data,0,1
User Interactions,0,1
User Locations,1,0
User Number,0,1
User Personal Data,0,1
User Personal Information,1,0
User Personal Information (In Case of Mergers and Acquisitions),1,0
User Profile Data,0,2
User Profile Information,0,1
User Provided Information,1,0
User Provided Information (personal details,0,1
User Service Usage Information,0,1
User Submitted Data,0,1
User activity data,0,1
User behavior data,0,1
User behaviour data],0,1
User content,0,1
User data (Specific information not provided),0,1
"User data (mentioned but not specified),",1,0
User data for compliance enforcement,1,0
User data for legal compliance,1,0
User data for legal purposes,1,0
User data for legal requirements,1,0
User data for statutory or legal requirements,1,0
User data for third-party functions.,1,0
User data retained for legal obligations,0,1
User data to service providers or vendors for service management and improvement,1,0
User data with 3rd Party Affiliates: YieldLove,1,0
User data with advertisers,1,0
User demographics),1,0
User feedback,1,1
User identities,0,1
User information,1,0
User information (specifics not given),1,0
User information across Kijiji's other classified sites,1,0
User information for Legal Processes,1,0
User information for Violation of Terms of Use,1,0
User information for connection-making,1,0
User information to Protect Rights and Properties of the Company,1,0
User information with other users,1,0
User information with third-party service providers,1,0
User interaction information (web requests,0,1
User interaction logs,0,1
User name,0,1
User profile information.,0,1
User testimonials,0,1
User's Data,1,0
User's Data (Google Play Services,0,1
User's Device Storage Data,1,0
User's Email,0,1
User's First Name,0,1
User's Information,1,1
User's Information with third-party services,1,0
User's Name,1,1
User's Name/Nickname,0,1
User's Personal Data,2,1
User's Personal Information [Public Cases,1,0
User's favorite places,0,1
User's information from third-party services,0,1
User's preferred settings,0,1
User's registration data (Name,0,1
User-Generated Content,0,2
User-Provided Information (Name,0,1
User-customizable audio recordings during interactions with Google Search,0,1
User-generated content,0,1
User-generated content (text,1,1
User-identifying information via third-party services (Google Play Services,1,0
User-profile,1,0
User-provided Data,0,1
User-provided information for security threat notifications or product customization,1,0
User-submitted information,1,1
Username,0,3
Username),0,1
Usernames,0,1
Users' Photos,1,0
Various Services and Device Data (with consent),0,1
Various Stats),0,1
Various types of personal data,0,1
Vehicle control and access data.,0,1
Version,0,1
Video,0,1
Video Storing Data (name of cloud service provider,0,1
Videos,0,2
Visit Dates and Times.,0,1
Visiting Statistics,0,1
Voice Recordings,0,1
Voice recordings,0,1
Voting Behavior and Results,0,1
Web Beacons,0,1
Website Browsing Patterns,0,1
Website Usage (via Cookies),0,1
Website usage patterns.,0,1
Windows ID,0,1
With Affiliates,1,0
With Consent,1,0
With Third Parties.,1,0
Work Information,0,1
Yandex,1,0
Your Activity (Deals,0,1
Your Trends (Likes Received,0,1
Zip Code,0,1
access credentials),0,1
accessed URLs.,0,1
active filters,0,1
activity details,0,1
advertising partners,1,0
affiliates,1,0
age,0,1
albums,1,1
alerts,0,2
and Consented data.,1,0
and Corporate Affiliates,0,1
and Data through Third-party SDKs.,0,1
and Firebase Crashlytics),0,1
and Liftoff),1,0
and Maps.,0,1
and Vendor Representatives,0,1
and analysis purposes.,1,0
and connected machines.,0,1
and data analysis.,0,1
and during company acquisition.,1,0
and legal entities),1,0
and marketing partners),1,0
and merchants,1,0
and messages,1,0
and policies,0,1
and third-party service providers.,1,0
and using Third-party SDKs like Umeng,1,0
app,0,1
app configuration,0,5
app usage time and date,0,1
behavior data),0,1
birthdates,1,1
browser language,0,1
browser type,0,2
business partners,2,0
camera,1,1
clicks,0,2
comments,1,1
communications data),0,1
contact details,0,1
contact information),0,1
cookies,0,1
courts,1,0
create accounts,0,1
credit reference agencies' information,1,0
data duration,0,1
data for business development.,0,1
data for website update,0,1
data measured from email campaigns,0,1
data related to customer feedback,0,1
date,0,1
date and time of request,0,1
demographic data,0,1
description),0,1
device and interaction information),0,1
device information,0,1
device name,0,5
discussions,0,1
dispute resolutions,0,1
during Business Transfer,1,0
during corporate transactions,1,0
email address,0,1
email contacts,0,1
etc.],0,1
feature usage,0,1
filters,0,1
financial information),0,1
followers,0,1
fraud checks,0,1
fraud prevention agencies' information,1,0
gender,0,2
government agencies,1,0
group companies,1,0
health condition,0,1
health functions),1,1
images,1,1
information provided through the application or website,0,1
interaction with websites or apps.,1,0
interests),0,1
job applications),0,1
law enforcement,1,0
law enforcement agencies' information,1,0
legal agreements,0,1
legal compliance,1,0
likes,0,2
locations),1,1
login details,0,1
low-accuracy location data,1,0
measurement companies,1,0
message boards,1,0
microphone,1,1
model,0,1
moral beliefs,0,1
name,0,1
networking protocol),0,1
newsletter subscription,0,1
notifications,1,1
offer statistics),0,1
operating system,0,1
operating system version,0,3
or Apple's identity methods),0,1
or device,0,1
or other online public forums),1,0
or safety,1,0
other relevant statistics),0,1
other statistics),0,2
other third parties,1,0
pages visited,0,1
partners,1,0
partners' information,1,0
password),0,1
payment processors,1,0
philosophical beliefs,0,1
phone number,0,1
photos,0,1
political opinions),0,1
preferred naming,0,1
previous activity,0,1
private messages),0,1
process payments,0,1
profile picture,0,1
property,1,0
public authorities),1,0
public web content,0,1
purchase information,0,1
purchase records,0,1
referral websites,0,1
religious beliefs,0,1
saved posts,0,1
searches,0,2
searches),0,1
security,0,1
send marketing communications),0,1
service improvement and law compliance),0,1
service providers,4,0
service providers' information.,1,0
service usage time and date,0,1
social networks,1,0
storage,1,1
stored searches,0,1
street address,0,1
surname,0,1
technical information about the user's connection to the site),0,1
the My Dyson app,0,1
time and date of Service use,0,1
to Government or Law Enforcement Officials,1,0
transaction-related information,0,1
transferred to other countries),1,0
type of computer,0,1
unique cookie ID),0,1
usage time,0,1
usage time),0,1
username,0,1
various statistics),0,1
videos,0,1
videos),1,1
website provision,0,1
with user consent).,1,0
